id,gender,customer type,age,type of travel,class,flight distance,inflight wifi service,departure/arrival time convenient,ease of online booking,gate location,food and drink,online boarding,seat comfort,inflight entertainment,on-board service,leg room service,baggage handling,checkin service,inflight service,cleanliness,departure delay in minutes,arrival delay in minutes,satisfaction,age group,delay category,service score
23064,female,loyal customer,28,business travel,business,820,1,3,3,3,1,1,1,1,4,3,3,1,3,1,8,3.0,neutral or dissatisfied,18-30,1-15,1.9166666666666667
57974,male,loyal customer,45,business travel,business,2949,4,4,4,4,4,4,4,4,4,4,4,2,4,1,5,8.0,neutral or dissatisfied,31-45,1-15,3.5833333333333335
77934,female,loyal customer,60,business travel,business,332,0,0,0,3,2,4,4,5,5,5,5,4,5,5,0,0.0,satisfied,46-60,no delay,3.6666666666666665
53700,male,loyal customer,25,business travel,business,3477,3,3,4,3,5,5,5,5,3,5,2,4,3,5,9,3.0,satisfied,18-30,1-15,4.083333333333333
35452,female,loyal customer,34,personal travel,eco,1076,2,5,2,1,3,2,3,3,5,5,4,4,5,3,42,47.0,neutral or dissatisfied,31-45,31-60,3.4166666666666665
115689,female,loyal customer,60,business travel,eco,308,4,2,2,2,3,3,2,4,4,4,4,4,4,2,8,4.0,neutral or dissatisfied,46-60,1-15,3.3333333333333335
60215,female,loyal customer,58,business travel,business,1607,3,3,3,3,2,3,5,4,4,4,4,4,4,5,2,5.0,satisfied,46-60,1-15,3.75
70189,male,loyal customer,54,business travel,eco,258,2,4,4,4,2,2,2,2,3,2,2,4,2,2,84,97.0,neutral or dissatisfied,46-60,60+,2.4166666666666665
102608,female,loyal customer,20,personal travel,eco plus,236,3,4,3,3,3,3,3,3,5,2,5,5,5,3,0,4.0,neutral or dissatisfied,18-30,no delay,3.5833333333333335
68853,male,loyal customer,50,business travel,business,1061,5,5,5,5,5,5,4,4,4,4,4,4,4,3,0,13.0,satisfied,46-60,no delay,4.25
108129,male,loyal customer,59,business travel,eco,990,3,3,3,3,3,3,3,3,3,2,4,3,4,3,0,0.0,neutral or dissatisfied,46-60,no delay,3.0833333333333335
109813,female,loyal customer,28,business travel,business,2578,5,5,5,5,5,5,5,5,4,2,5,3,5,5,0,0.0,satisfied,18-30,no delay,4.5
82048,female,loyal customer,66,personal travel,eco,1535,3,5,3,1,2,4,4,3,3,3,3,3,3,3,0,0.0,neutral or dissatisfied,60+,no delay,3.0833333333333335
19103,male,loyal customer,42,business travel,business,265,1,3,3,3,3,1,1,1,1,1,1,4,1,1,70,67.0,neutral or dissatisfied,31-45,60+,1.5833333333333333
39001,female,loyal customer,37,business travel,eco,230,5,2,2,2,5,5,5,5,4,2,1,2,5,5,68,110.0,satisfied,31-45,60+,3.8333333333333335
33789,female,loyal customer,53,business travel,eco,188,5,1,1,1,5,1,4,5,5,5,5,3,5,4,0,0.0,satisfied,46-60,no delay,4.0
14285,female,loyal customer,53,business travel,eco,395,4,3,3,3,1,3,1,4,4,4,4,1,4,3,0,0.0,satisfied,46-60,no delay,3.0
123789,female,disloyal customer,25,business travel,business,544,2,0,2,5,1,2,1,1,5,3,4,5,4,1,0,0.0,neutral or dissatisfied,18-30,no delay,2.5833333333333335
66149,male,loyal customer,17,personal travel,eco plus,583,1,3,1,4,4,1,4,4,3,4,2,5,2,4,20,14.0,neutral or dissatisfied,under 18,16-30,2.9166666666666665
12870,male,loyal customer,13,personal travel,business,927,4,5,4,3,2,4,2,2,3,5,5,4,5,2,77,71.0,neutral or dissatisfied,under 18,60+,3.5
41491,female,loyal customer,40,business travel,eco,1428,3,3,3,3,3,3,3,3,3,1,2,1,4,3,0,0.0,neutral or dissatisfied,31-45,no delay,2.6666666666666665
118026,female,loyal customer,32,personal travel,business,1044,3,5,3,4,4,3,4,4,3,3,5,1,4,4,46,24.0,neutral or dissatisfied,31-45,31-60,3.4166666666666665
99855,female,loyal customer,39,personal travel,eco,468,1,4,1,3,5,1,5,5,4,5,5,4,4,5,6,0.0,neutral or dissatisfied,31-45,1-15,3.75
52964,female,loyal customer,34,business travel,business,2306,3,3,3,3,2,5,5,4,4,4,4,3,4,3,4,0.0,satisfied,31-45,1-15,3.6666666666666665
63891,male,loyal customer,38,business travel,eco,1192,4,3,3,3,4,4,4,4,2,5,3,2,3,4,13,8.0,neutral or dissatisfied,31-45,1-15,3.5
8994,female,disloyal customer,26,business travel,eco,228,1,4,1,3,4,1,4,4,4,3,3,2,4,4,0,0.0,neutral or dissatisfied,18-30,no delay,2.9166666666666665
95011,male,loyal customer,51,personal travel,eco,248,5,4,5,2,5,5,5,5,4,2,5,5,4,5,7,5.0,satisfied,46-60,1-15,4.583333333333333
103378,male,loyal customer,53,business travel,business,3581,3,3,3,3,3,4,5,5,5,5,5,4,5,4,7,4.0,satisfied,46-60,1-15,4.25
11889,male,loyal customer,48,business travel,business,3020,4,4,4,4,4,4,5,4,4,4,4,3,4,3,0,0.0,satisfied,46-60,no delay,3.9166666666666665
100008,male,loyal customer,38,business travel,eco,277,2,5,5,5,2,2,2,2,2,3,4,4,4,2,0,14.0,neutral or dissatisfied,31-45,no delay,2.8333333333333335
64564,male,loyal customer,37,business travel,business,3493,0,0,0,3,4,5,5,5,5,5,5,4,5,4,19,24.0,satisfied,31-45,16-30,3.9166666666666665
15076,female,disloyal customer,34,business travel,eco,239,2,4,2,4,1,2,1,1,4,3,3,2,2,1,0,0.0,neutral or dissatisfied,31-45,no delay,2.0
26474,female,loyal customer,40,personal travel,eco,787,2,4,2,3,4,2,4,4,4,2,4,3,4,4,0,0.0,neutral or dissatisfied,31-45,no delay,3.25
82512,male,disloyal customer,39,business travel,eco,1749,4,4,4,3,5,4,5,5,3,2,3,1,3,5,0,0.0,neutral or dissatisfied,31-45,no delay,3.6666666666666665
112048,male,loyal customer,48,personal travel,eco,1015,4,2,4,3,3,4,3,3,2,3,3,3,3,3,0,0.0,neutral or dissatisfied,46-60,no delay,3.1666666666666665
120001,female,loyal customer,53,business travel,business,328,0,0,0,3,3,4,5,3,3,3,3,4,3,5,0,0.0,satisfied,46-60,no delay,3.0
88060,female,loyal customer,57,business travel,business,2739,3,3,3,3,4,5,4,4,4,4,4,5,4,5,2,0.0,satisfied,46-60,1-15,4.083333333333333
70800,female,loyal customer,29,personal travel,eco,328,2,5,2,1,5,2,5,5,5,5,5,5,4,5,0,0.0,neutral or dissatisfied,18-30,no delay,4.166666666666667
65791,male,loyal customer,38,business travel,business,1389,1,1,1,1,3,5,5,4,4,4,4,5,4,5,3,0.0,satisfied,31-45,1-15,3.75
13835,male,loyal customer,60,business travel,eco,594,2,1,1,1,2,2,2,2,1,1,2,4,1,2,8,2.0,satisfied,46-60,1-15,1.8333333333333333
120501,male,loyal customer,57,business travel,business,2005,3,3,3,3,2,4,5,5,5,5,5,3,5,5,1,0.0,satisfied,46-60,1-15,4.166666666666667
10948,female,disloyal customer,20,business travel,eco,140,3,1,3,4,5,3,5,5,3,1,4,1,3,5,25,17.0,neutral or dissatisfied,18-30,16-30,3.4166666666666665
97472,male,loyal customer,68,business travel,eco,670,2,5,5,5,2,2,2,2,2,1,2,4,3,2,0,0.0,neutral or dissatisfied,60+,no delay,2.4166666666666665
110153,female,loyal customer,41,business travel,business,656,2,5,5,5,3,3,3,2,2,2,2,2,2,4,0,6.0,neutral or dissatisfied,31-45,no delay,2.6666666666666665
95074,female,loyal customer,34,personal travel,eco,148,2,5,2,1,4,2,1,4,3,5,4,4,4,4,30,34.0,neutral or dissatisfied,31-45,16-30,3.25
20462,female,disloyal customer,35,business travel,eco,84,4,1,4,2,5,4,5,5,3,4,2,1,2,5,0,0.0,neutral or dissatisfied,31-45,no delay,3.6666666666666665
40981,female,loyal customer,37,business travel,business,3137,1,2,1,1,2,2,2,5,5,5,5,5,5,5,0,0.0,satisfied,31-45,no delay,3.5833333333333335
40887,female,loyal customer,47,personal travel,eco,584,2,5,2,3,2,4,5,1,1,2,1,4,1,3,0,0.0,neutral or dissatisfied,46-60,no delay,2.3333333333333335
60011,male,loyal customer,68,personal travel,eco,1085,3,4,2,3,4,2,4,4,3,5,4,3,5,4,37,25.0,neutral or dissatisfied,60+,31-60,3.5833333333333335
126978,female,loyal customer,48,business travel,business,1866,2,2,2,2,5,4,5,4,4,4,4,5,4,3,0,0.0,satisfied,46-60,no delay,3.8333333333333335
29447,male,loyal customer,40,business travel,business,1849,3,3,3,3,3,1,2,5,5,5,5,1,5,3,0,0.0,satisfied,31-45,no delay,3.4166666666666665
129319,female,loyal customer,52,business travel,business,2586,2,2,2,2,2,5,5,5,5,5,5,3,5,4,0,0.0,satisfied,46-60,no delay,4.0
108185,female,loyal customer,7,personal travel,eco,849,2,5,2,3,2,2,2,2,3,4,5,4,5,2,20,13.0,neutral or dissatisfied,under 18,16-30,2.9166666666666665
83744,female,loyal customer,32,business travel,eco,1183,4,5,5,5,4,4,4,4,2,2,3,1,4,4,3,0.0,neutral or dissatisfied,31-45,1-15,3.4166666666666665
46385,female,loyal customer,23,business travel,business,1013,5,5,5,5,4,4,4,4,2,5,2,4,2,4,0,0.0,satisfied,18-30,no delay,3.75
122199,male,disloyal customer,27,business travel,business,544,4,4,4,5,2,4,2,2,4,5,5,5,5,2,0,0.0,satisfied,18-30,no delay,3.6666666666666665
73567,male,disloyal customer,23,business travel,eco,192,1,1,1,3,4,1,4,4,1,1,4,3,3,4,4,1.0,neutral or dissatisfied,18-30,1-15,2.5833333333333335
43006,male,disloyal customer,48,business travel,eco,192,2,5,2,4,2,2,2,2,1,1,1,2,2,2,0,0.0,neutral or dissatisfied,46-60,no delay,1.75
116432,male,loyal customer,58,personal travel,eco,372,3,1,3,3,3,3,3,3,4,5,3,4,4,3,27,22.0,neutral or dissatisfied,46-60,16-30,3.4166666666666665
64054,female,disloyal customer,29,business travel,eco,919,3,3,3,3,1,3,1,1,3,5,4,4,4,1,0,11.0,neutral or dissatisfied,18-30,no delay,2.75
102531,male,loyal customer,22,personal travel,eco,414,3,2,3,4,1,3,3,1,3,1,4,3,4,1,2,0.0,neutral or dissatisfied,18-30,1-15,2.5
51985,female,loyal customer,40,business travel,eco plus,347,4,4,4,4,4,4,4,4,4,5,2,3,1,4,0,0.0,satisfied,31-45,no delay,3.5833333333333335
36665,female,loyal customer,32,personal travel,eco,1220,3,0,3,1,3,3,1,3,4,5,5,5,5,3,0,22.0,neutral or dissatisfied,31-45,no delay,3.5833333333333335
23483,male,loyal customer,41,personal travel,eco,516,2,4,2,5,4,2,4,4,5,2,4,4,3,4,0,0.0,neutral or dissatisfied,31-45,no delay,3.3333333333333335
62268,male,loyal customer,10,personal travel,eco plus,2565,3,5,3,4,3,3,3,3,3,5,5,5,3,3,35,39.0,neutral or dissatisfied,under 18,31-60,3.5
38216,male,disloyal customer,30,business travel,eco plus,1249,3,3,3,4,1,3,2,1,3,3,4,3,4,1,29,44.0,neutral or dissatisfied,18-30,16-30,2.5833333333333335
106608,male,loyal customer,31,business travel,business,589,3,4,4,4,3,3,3,3,4,1,4,2,4,3,0,0.0,neutral or dissatisfied,31-45,no delay,3.0833333333333335
21551,male,loyal customer,18,personal travel,eco,331,4,3,4,2,4,4,4,4,3,4,5,3,3,4,0,0.0,neutral or dissatisfied,under 18,no delay,3.8333333333333335
109172,female,loyal customer,49,business travel,business,2550,4,4,4,4,1,4,3,4,4,4,4,2,4,1,27,17.0,neutral or dissatisfied,46-60,16-30,3.25
25674,female,loyal customer,58,personal travel,eco,761,4,1,3,4,5,4,4,5,5,3,5,3,5,4,7,0.0,satisfied,46-60,1-15,4.166666666666667
116362,female,loyal customer,21,personal travel,eco,308,3,4,3,1,3,3,3,3,4,3,4,5,5,3,0,1.0,neutral or dissatisfied,18-30,no delay,3.5
61344,female,disloyal customer,23,business travel,business,602,5,0,5,2,2,5,1,2,3,3,4,4,4,2,0,0.0,satisfied,18-30,no delay,3.3333333333333335
118051,male,disloyal customer,22,business travel,eco,1262,3,3,3,2,4,3,4,4,1,5,3,2,2,4,30,17.0,neutral or dissatisfied,18-30,16-30,3.1666666666666665
80134,female,disloyal customer,21,business travel,eco,1306,3,3,3,5,3,3,3,3,4,2,5,5,5,3,7,0.0,neutral or dissatisfied,18-30,1-15,3.5
106855,female,loyal customer,46,business travel,business,2031,3,3,3,3,3,5,5,4,4,4,4,3,4,3,0,0.0,satisfied,46-60,no delay,3.75
33489,male,disloyal customer,33,personal travel,eco,2496,3,2,3,4,3,3,3,3,1,4,4,3,4,3,65,72.0,neutral or dissatisfied,31-45,60+,3.0833333333333335
114659,female,loyal customer,50,business travel,business,1703,0,0,0,2,5,5,4,2,2,2,5,4,2,4,5,0.0,satisfied,46-60,1-15,2.9166666666666665
128283,female,loyal customer,31,business travel,business,1946,1,1,3,1,5,5,5,5,3,3,4,3,4,5,0,0.0,satisfied,31-45,no delay,3.8333333333333335
82336,female,disloyal customer,41,business travel,business,1930,4,4,4,1,1,4,1,1,3,3,5,4,5,1,0,3.0,neutral or dissatisfied,31-45,no delay,3.0
56698,male,loyal customer,40,personal travel,eco,1068,1,5,1,2,3,1,3,3,4,4,5,4,4,3,13,26.0,neutral or dissatisfied,31-45,1-15,3.0
47399,female,loyal customer,25,business travel,eco,541,5,1,1,1,5,5,4,5,3,2,1,2,4,5,0,0.0,satisfied,18-30,no delay,3.5
11967,female,loyal customer,23,business travel,business,643,2,2,2,2,4,4,4,4,3,2,4,4,5,4,8,0.0,satisfied,18-30,1-15,3.5
104953,male,disloyal customer,15,business travel,business,337,2,1,2,2,2,2,5,2,4,5,3,4,2,2,3,8.0,neutral or dissatisfied,under 18,1-15,2.9166666666666665
70169,female,disloyal customer,22,business travel,eco,150,4,3,4,4,5,4,5,5,1,3,3,4,4,5,6,0.0,neutral or dissatisfied,18-30,1-15,3.9166666666666665
15184,male,loyal customer,54,business travel,eco,461,3,5,5,5,3,3,3,3,3,5,2,2,5,3,0,0.0,satisfied,46-60,no delay,3.3333333333333335
73954,female,disloyal customer,55,business travel,eco,767,2,2,2,1,1,2,5,1,3,1,1,3,3,1,0,0.0,neutral or dissatisfied,46-60,no delay,2.0833333333333335
113104,female,loyal customer,65,personal travel,eco,479,2,4,2,4,3,4,4,4,4,2,4,2,4,1,0,0.0,neutral or dissatisfied,60+,no delay,3.0
47506,male,disloyal customer,64,personal travel,eco,599,3,0,3,5,3,3,3,3,3,2,4,3,4,3,0,7.0,neutral or dissatisfied,60+,no delay,3.0833333333333335
112915,female,loyal customer,49,business travel,business,3839,3,3,3,3,4,3,5,3,3,3,3,1,3,1,18,5.0,satisfied,46-60,16-30,2.9166666666666665
27655,male,loyal customer,50,business travel,business,3594,2,2,2,2,1,2,1,2,2,2,2,3,2,3,10,0.0,neutral or dissatisfied,46-60,1-15,2.0
40439,female,loyal customer,50,business travel,business,1772,4,3,3,3,2,3,4,3,3,3,4,4,3,4,66,62.0,neutral or dissatisfied,46-60,60+,3.3333333333333335
42697,male,loyal customer,46,personal travel,eco,627,3,5,3,1,2,3,2,2,5,4,4,5,5,2,0,0.0,neutral or dissatisfied,46-60,no delay,3.3333333333333335
31597,male,loyal customer,54,business travel,business,2813,4,1,1,1,2,3,3,2,2,2,4,3,2,3,0,0.0,neutral or dissatisfied,46-60,no delay,2.5833333333333335
44216,male,loyal customer,38,business travel,business,359,3,3,3,3,1,5,5,4,4,4,4,2,4,4,0,1.0,satisfied,31-45,no delay,3.5833333333333335
34174,male,loyal customer,52,business travel,eco,1063,2,1,1,1,2,2,2,2,1,1,3,1,3,2,24,18.0,neutral or dissatisfied,46-60,16-30,1.8333333333333333
3107,female,loyal customer,60,business travel,eco plus,413,3,3,3,3,3,4,3,3,3,3,3,4,3,2,0,0.0,neutral or dissatisfied,46-60,no delay,3.0833333333333335
62241,male,loyal customer,69,personal travel,eco,2454,3,5,3,3,4,3,4,4,5,3,3,4,5,4,0,0.0,neutral or dissatisfied,60+,no delay,3.75
40813,female,disloyal customer,22,business travel,business,558,5,0,5,5,5,5,4,5,2,5,1,4,2,5,10,9.0,satisfied,18-30,1-15,4.0
3065,male,loyal customer,56,business travel,business,594,5,5,5,5,5,5,5,4,4,5,5,5,3,5,130,138.0,satisfied,46-60,60+,4.666666666666667
59127,male,loyal customer,69,personal travel,eco,1744,5,5,5,4,5,5,5,5,3,2,5,4,5,5,8,0.0,satisfied,60+,1-15,4.5
47728,female,loyal customer,20,business travel,business,1590,3,4,4,4,3,3,3,3,4,2,3,4,3,3,0,0.0,neutral or dissatisfied,18-30,no delay,3.1666666666666665
19118,female,disloyal customer,22,business travel,business,323,3,4,3,3,4,3,4,4,1,4,3,3,3,4,0,0.0,neutral or dissatisfied,18-30,no delay,3.25
56846,female,loyal customer,41,business travel,business,2425,1,1,1,1,4,4,4,3,5,3,5,4,3,4,15,0.0,satisfied,31-45,1-15,3.4166666666666665
30589,female,loyal customer,16,personal travel,eco,628,3,4,3,3,5,3,3,5,4,5,4,3,4,5,27,25.0,neutral or dissatisfied,under 18,16-30,3.9166666666666665
102723,female,loyal customer,36,personal travel,eco,365,1,4,1,4,4,1,3,4,5,3,5,5,4,4,0,0.0,neutral or dissatisfied,31-45,no delay,3.3333333333333335
100362,male,loyal customer,31,personal travel,eco,1101,1,5,1,3,2,1,2,2,2,3,4,5,5,2,0,7.0,neutral or dissatisfied,31-45,no delay,2.5
19598,male,loyal customer,51,personal travel,eco,160,1,5,1,2,4,1,4,4,3,4,5,4,5,4,0,0.0,neutral or dissatisfied,46-60,no delay,3.3333333333333335
108297,male,loyal customer,38,business travel,business,1750,1,1,1,1,4,4,5,4,4,4,4,4,4,5,3,0.0,satisfied,31-45,1-15,3.6666666666666665
74463,male,loyal customer,50,business travel,eco,1464,3,2,5,2,3,3,3,3,3,2,3,2,2,3,25,28.0,neutral or dissatisfied,46-60,16-30,2.9166666666666665
16132,male,loyal customer,44,personal travel,eco,725,1,5,1,3,4,1,4,4,1,3,2,4,3,4,0,5.0,neutral or dissatisfied,31-45,no delay,2.6666666666666665
77499,female,loyal customer,65,personal travel,eco,989,1,4,1,4,5,5,4,2,2,1,5,4,2,4,0,0.0,neutral or dissatisfied,60+,no delay,3.0
70568,female,disloyal customer,37,business travel,eco,858,4,3,3,4,3,3,3,3,2,2,1,4,1,3,0,3.0,satisfied,31-45,no delay,2.6666666666666665
93027,male,loyal customer,31,personal travel,eco plus,1524,1,4,1,2,5,1,5,5,3,4,5,3,4,5,0,0.0,neutral or dissatisfied,31-45,no delay,3.5
72823,male,disloyal customer,22,business travel,business,1013,0,0,0,2,3,0,2,3,4,3,5,4,4,3,0,0.0,satisfied,18-30,no delay,2.5833333333333335
28783,female,loyal customer,52,business travel,business,1050,3,3,3,3,2,4,5,2,2,2,2,4,2,3,0,0.0,satisfied,46-60,no delay,2.8333333333333335
81258,female,loyal customer,44,business travel,business,3813,2,2,5,2,4,4,4,4,4,4,4,5,4,5,0,0.0,satisfied,31-45,no delay,4.083333333333333
111217,male,loyal customer,29,business travel,business,1703,4,3,3,3,4,3,4,4,3,1,2,4,4,4,0,19.0,neutral or dissatisfied,18-30,no delay,3.3333333333333335
105767,male,loyal customer,59,business travel,business,442,5,5,5,5,2,2,1,4,4,4,4,2,4,3,8,0.0,satisfied,46-60,1-15,3.3333333333333335
82981,male,loyal customer,46,business travel,business,2555,3,3,3,3,3,4,4,4,4,4,4,4,4,5,4,69.0,satisfied,46-60,1-15,3.8333333333333335
76124,male,disloyal customer,42,business travel,business,689,1,0,0,2,1,1,5,1,5,5,5,5,5,1,0,0.0,neutral or dissatisfied,31-45,no delay,2.9166666666666665
127909,female,loyal customer,19,personal travel,eco,1671,2,3,2,4,5,2,5,5,2,1,4,3,4,5,0,0.0,neutral or dissatisfied,18-30,no delay,3.3333333333333335
57306,male,loyal customer,13,personal travel,business,414,4,5,4,1,1,4,1,1,5,5,1,4,2,1,0,0.0,neutral or dissatisfied,under 18,no delay,2.75
17178,male,loyal customer,36,business travel,business,3169,3,2,2,2,2,4,3,3,3,3,3,3,3,1,0,17.0,neutral or dissatisfied,31-45,no delay,2.75
46647,female,loyal customer,40,business travel,business,125,0,5,0,4,2,1,4,4,4,3,3,2,4,4,0,0.0,satisfied,31-45,no delay,2.5833333333333335
86737,female,disloyal customer,37,business travel,business,821,3,3,3,2,5,3,4,5,3,2,4,3,4,5,0,0.0,neutral or dissatisfied,31-45,no delay,3.6666666666666665
119386,male,loyal customer,53,business travel,business,2712,2,2,2,2,3,5,4,4,4,4,4,4,4,3,1,0.0,satisfied,46-60,1-15,3.5833333333333335
47404,male,loyal customer,45,business travel,eco,584,1,1,1,1,1,1,1,1,1,5,4,4,4,1,0,0.0,neutral or dissatisfied,31-45,no delay,2.0833333333333335
78859,male,loyal customer,52,personal travel,eco plus,447,0,5,0,1,4,0,4,4,4,3,5,5,4,4,0,0.0,satisfied,46-60,no delay,3.0833333333333335
57104,female,loyal customer,43,business travel,eco,1222,3,2,2,2,2,2,3,3,3,3,3,2,3,2,0,0.0,neutral or dissatisfied,31-45,no delay,2.5833333333333335
65085,male,loyal customer,48,personal travel,eco,282,4,1,4,4,5,4,5,5,4,2,3,2,3,5,0,0.0,neutral or dissatisfied,46-60,no delay,3.8333333333333335
84444,male,loyal customer,28,personal travel,eco plus,591,2,2,2,3,1,2,1,1,4,2,4,4,4,1,0,0.0,neutral or dissatisfied,18-30,no delay,2.3333333333333335
100762,male,loyal customer,35,business travel,business,1504,5,5,5,5,2,4,4,5,5,5,5,5,5,4,0,0.0,satisfied,31-45,no delay,4.5
52860,female,loyal customer,48,business travel,business,3337,1,1,1,1,4,5,4,4,4,4,4,3,4,5,0,0.0,satisfied,46-60,no delay,3.5833333333333335
123339,male,loyal customer,40,personal travel,eco plus,507,3,4,5,3,5,5,5,5,2,3,1,1,2,5,44,24.0,neutral or dissatisfied,31-45,31-60,3.5
42522,male,loyal customer,56,personal travel,eco,1187,3,4,3,3,5,3,5,5,2,5,3,4,4,5,0,0.0,neutral or dissatisfied,46-60,no delay,3.9166666666666665
73121,female,loyal customer,43,personal travel,eco,2174,2,0,2,5,3,4,5,2,2,2,2,4,2,5,0,17.0,neutral or dissatisfied,31-45,no delay,2.9166666666666665
103061,male,disloyal customer,22,business travel,eco,460,2,4,2,3,4,2,5,4,2,2,3,4,4,4,51,37.0,neutral or dissatisfied,18-30,31-60,3.1666666666666665
121325,male,loyal customer,33,personal travel,eco,1009,4,4,4,1,1,4,1,1,4,3,5,3,5,1,0,0.0,neutral or dissatisfied,31-45,no delay,3.0
99792,male,loyal customer,31,business travel,business,2469,1,1,4,1,5,5,5,5,5,2,4,5,5,5,0,0.0,satisfied,31-45,no delay,4.25
97071,female,disloyal customer,49,business travel,business,1211,5,5,5,1,3,5,4,3,4,3,5,3,4,3,4,0.0,satisfied,46-60,1-15,3.9166666666666665
64520,male,loyal customer,58,personal travel,business,247,3,5,3,3,5,5,4,5,5,3,5,3,5,4,0,0.0,neutral or dissatisfied,46-60,no delay,4.166666666666667
61644,male,loyal customer,40,business travel,business,1346,5,5,5,5,3,5,4,5,5,5,5,4,5,4,10,0.0,satisfied,31-45,1-15,4.583333333333333
12839,male,loyal customer,60,personal travel,eco,1041,5,5,5,3,3,5,3,3,5,2,5,3,5,3,0,0.0,satisfied,46-60,no delay,3.9166666666666665
128715,male,loyal customer,23,business travel,business,1464,4,4,4,4,2,2,2,2,3,4,4,3,4,2,3,0.0,satisfied,18-30,1-15,3.0
65186,male,loyal customer,18,personal travel,eco,247,2,4,2,4,5,2,5,5,4,5,4,4,5,5,0,0.0,neutral or dissatisfied,under 18,no delay,4.0
127018,male,loyal customer,36,business travel,business,1885,4,3,3,3,2,2,3,4,4,4,4,3,4,3,0,0.0,neutral or dissatisfied,31-45,no delay,3.3333333333333335
99194,female,loyal customer,66,business travel,eco plus,351,2,1,1,1,4,2,1,2,2,2,2,2,2,1,41,28.0,neutral or dissatisfied,60+,31-60,1.9166666666666667
20829,female,disloyal customer,32,business travel,eco,457,3,1,2,3,2,2,4,2,1,2,3,2,4,2,0,0.0,neutral or dissatisfied,31-45,no delay,2.4166666666666665
25913,female,disloyal customer,25,business travel,eco,594,2,0,2,3,1,2,1,1,3,1,5,2,2,1,11,10.0,neutral or dissatisfied,18-30,1-15,1.9166666666666667
1493,female,disloyal customer,15,business travel,eco,737,4,4,4,3,3,4,3,3,3,2,5,5,5,3,0,0.0,satisfied,under 18,no delay,3.6666666666666665
32437,male,disloyal customer,20,business travel,eco,163,2,3,2,4,5,2,5,5,3,5,2,1,3,5,0,0.0,neutral or dissatisfied,18-30,no delay,3.3333333333333335
101496,female,loyal customer,50,business travel,business,3987,5,5,5,5,3,4,5,5,5,5,5,3,5,5,0,0.0,satisfied,46-60,no delay,4.583333333333333
108329,male,loyal customer,58,business travel,eco,1790,2,4,5,4,2,2,2,2,1,5,2,3,3,2,6,10.0,neutral or dissatisfied,46-60,1-15,2.5833333333333335
32246,female,loyal customer,52,business travel,business,2488,0,3,0,4,5,1,1,3,3,3,3,2,3,1,7,3.0,satisfied,46-60,1-15,2.0833333333333335
82831,female,loyal customer,44,business travel,business,3399,3,3,3,3,5,5,5,5,5,5,5,4,5,4,0,14.0,satisfied,31-45,no delay,4.5
126194,male,loyal customer,33,business travel,business,2574,2,2,2,2,2,2,2,2,3,2,4,1,3,2,0,0.0,neutral or dissatisfied,31-45,no delay,2.25
61501,female,loyal customer,45,business travel,eco,788,2,3,3,3,5,2,3,2,2,2,2,4,2,5,7,0.0,satisfied,31-45,1-15,2.8333333333333335
79214,female,loyal customer,15,personal travel,eco,1990,1,1,1,3,3,1,3,3,4,4,4,4,4,3,0,0.0,neutral or dissatisfied,under 18,no delay,2.9166666666666665
55319,female,disloyal customer,23,business travel,business,1117,1,3,1,4,3,1,3,3,3,5,3,2,4,3,20,11.0,neutral or dissatisfied,18-30,16-30,2.6666666666666665
72401,female,loyal customer,46,business travel,business,1857,1,1,1,1,2,5,4,4,4,4,4,3,4,5,2,0.0,satisfied,46-60,1-15,3.4166666666666665
6227,male,loyal customer,15,business travel,business,1582,1,1,1,1,5,5,5,5,5,3,4,4,5,5,0,1.0,satisfied,under 18,no delay,4.0
44090,male,loyal customer,12,personal travel,business,473,4,3,4,3,2,4,2,2,1,1,3,1,3,2,0,0.0,satisfied,under 18,no delay,2.4166666666666665
72254,male,loyal customer,32,business travel,business,919,4,4,4,4,4,4,4,4,3,2,5,3,5,4,5,0.0,satisfied,31-45,1-15,3.8333333333333335
16894,male,loyal customer,31,business travel,eco,708,5,5,5,5,5,5,5,5,1,2,1,3,2,5,24,32.0,satisfied,31-45,16-30,3.6666666666666665
85890,female,loyal customer,25,personal travel,eco,2172,3,4,3,3,3,3,3,3,5,4,5,3,5,3,0,2.0,neutral or dissatisfied,18-30,no delay,3.5833333333333335
34941,female,loyal customer,42,personal travel,eco,187,3,4,3,2,2,4,4,1,1,3,1,4,1,4,21,32.0,neutral or dissatisfied,31-45,16-30,2.5833333333333335
121078,male,loyal customer,35,personal travel,eco plus,951,3,4,4,4,4,4,4,4,4,5,3,2,4,4,0,21.0,neutral or dissatisfied,31-45,no delay,3.75
91133,female,loyal customer,25,personal travel,eco,406,2,4,2,4,5,2,5,5,3,3,5,3,4,5,4,0.0,neutral or dissatisfied,18-30,1-15,3.6666666666666665
8594,male,loyal customer,57,personal travel,eco,109,3,5,3,4,4,3,4,4,1,3,5,2,1,4,0,1.0,neutral or dissatisfied,46-60,no delay,3.0833333333333335
62764,male,loyal customer,41,business travel,business,2367,3,3,1,3,5,4,4,5,5,5,5,4,5,5,2,4.0,satisfied,31-45,1-15,4.25
124430,female,loyal customer,28,personal travel,eco,1262,2,4,2,4,4,2,4,4,3,5,3,4,4,4,0,2.0,neutral or dissatisfied,18-30,no delay,3.4166666666666665
